ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
283962671,https://github.com/glouw/paperview,C,1229,16,39,268,13,39,864.5,1.1591,1.1382,1.0776,24.0,1.25,1.15,1.1304
124099123,https://github.com/maticzav/emma-cli,TypeScript,1215,15,49,26280,43,49,744.25,1.2677,1.1709,1.0998,14.25,1.7895,1.402,1.2867
131698648,https://github.com/blinker-iot/blinker-js,TypeScript,1229,5,8,181,1,8,321.0,2.2819,1.3563,1.237,2.75,1.6364,1.3889,1.28
197915529,https://github.com/scanapi/scanapi,Python,1217,26,71,1661,38,71,241.25,1.7098,2.6497,1.1134,19.5,1.9744,1.3831,1.3333
42607033,https://github.com/bevacqua/promisees,JavaScript,1199,18,68,9658,2,68,787.0,1.2224,1.1211,1.1117,22.75,1.6484,1.42,1.277
297071139,https://github.com/haileys/doslinux,C,1240,36,38,110,15,38,721.5,1.0748,1.5435,1.0359,14.5,1.5517,1.4333,1.1783
114154762,https://github.com/roberthein/Ease,Swift,1242,19,45,82220,2,45,870.5,1.1367,1.165,1.0774,14.0,1.7857,1.4,1.2857
29937635,https://github.com/standard/semistandard,JavaScript,1259,16,85,225,0,85,406.75,1.8205,1.3656,1.245,20.75,2.0482,1.4647,1.3173
403368935,https://github.com/tubearchivist/tubearchivist,Python,1253,9,58,3839,15,58,531.0,1.4181,1.1853,1.4039,18.5,1.6216,1.45,1.3103
54535336,https://github.com/akshaykmr/hogwatch,JavaScript,1236,27,39,1368,4,39,1076.75,1.0522,1.047,1.0419,18.0,1.3889,1.26,1.2063
132750134,https://github.com/leafac/kill-the-newsletter,JavaScript,1295,26,63,6442,5,63,213.75,2.1871,1.8209,1.5213,14.5,2.2069,1.4531,1.3333
252514002,https://github.com/wellyshen/react-cool-inview,TypeScript,1269,3,36,4953,11,36,685.0,1.2657,1.2509,1.1701,11.75,1.6596,1.3974,1.2844
93584426,https://github.com/manifold-systems/manifold,Java,1264,30,77,112133,36,77,525.5,1.4624,1.3302,1.2365,24.5,1.7143,1.4167,1.2773
391005419,https://github.com/RedisInsight/RedisInsight,TypeScript,1289,13,66,9925,69,66,88.5,2.7006,2.2531,2.3937,16.0,2.1875,1.4857,1.2692
110597280,https://github.com/dropbox/pyannotate,Python,1307,27,61,182,37,61,758.75,1.2382,1.2062,1.1533,21.5,1.5814,1.3971,1.2632
1587440,https://github.com/powder-rb/powder,Ruby,1304,16,67,180,16,67,707.0,1.3281,1.2002,1.1571,17.25,1.942,1.4851,1.3065
16052303,https://github.com/jalkoby/squasher,Ruby,1301,12,46,81,4,46,400.75,1.99,1.347,1.2111,12.75,1.8431,1.4574,1.3431
354515412,https://github.com/quackduck/devzat,Go,1319,6,74,550,10,74,245.0,1.2898,3.3291,1.2538,17.5,1.7714,1.7903,1.3333
17035253,https://github.com/sorellabs/fuck-you,JavaScript,1295,20,43,369,4,43,642.0,1.3583,1.2878,1.1532,13.25,1.7736,1.3936,1.2824
98999731,https://github.com/enkimute/ganja.js,JavaScript,1321,32,90,6905,55,90,389.75,1.5253,1.9092,1.1639,24.5,1.8776,1.5109,1.295
379247713,https://github.com/NVlabs/alias-free-gan,,1338,355,44,11,0,44,616.75,1.8962,1.087,1.0525,12.75,1.9216,1.449,1.2394
109186685,https://github.com/MicheleBertoli/react-automata,JavaScript,1337,25,59,465,14,59,719.0,1.4186,1.1676,1.1226,16.0,2.0,1.4062,1.2889
180954037,https://github.com/itchyny/gojq,Go,1350,20,55,1485,0,55,425.5,1.7579,1.375,1.3126,13.25,2.2264,1.4153,1.3174
281023933,https://github.com/everestpipkin/tools-list,HTML,1372,40,52,693,7,52,300.0,3.4967,1.1621,1.1255,13.75,1.7091,1.7553,1.2606
313473412,https://github.com/nnethercote/perf-book,,1358,31,61,1785,0,61,1002.25,1.1399,1.0921,1.0884,27.75,1.3333,1.277,1.1852
40844023,https://github.com/gsamokovarov/jump,Go,1365,19,51,3273,1,51,428.5,1.734,1.3668,1.3442,18.75,1.5733,1.3644,1.2671
116555732,https://github.com/lunaryorn/mdcat,Rust,1371,5,49,2615,10,49,381.5,2.0616,1.3538,1.2876,12.75,1.9216,1.4796,1.3241
45634141,https://github.com/nanopack/yoke,Go,1353,80,69,13378,10,69,1132.0,1.0689,1.0607,1.0541,28.5,1.4737,1.3214,1.2432
180151629,https://github.com/CPdogson/996action,,1380,59,69,4144,28,69,1103.5,1.1228,1.0601,1.0506,30.5,1.5082,1.25,1.2
50557264,https://github.com/alpaca-lang/alpaca,Erlang,1384,61,53,1901,34,53,708.5,1.3366,1.2518,1.1674,13.25,2.1509,1.3947,1.2579
12745404,https://github.com/mattn/gom,Go,1393,35,104,122,14,104,512.5,1.6741,1.3298,1.2209,26.0,1.9231,1.54,1.3117
38586576,https://github.com/PlusHaze/TrayNotification,Java,1395,35,107,345,13,107,1037.5,1.1181,1.1043,1.089,29.0,1.931,1.4464,1.3086
40425843,https://github.com/typora/typora-issues,,1409,49,53,24,503,53,322.25,2.135,1.5211,1.3464,13.75,1.9273,1.4811,1.3248
23600226,https://github.com/davidtheclark/scalable-css-reading-list,,1457,102,81,33,3,81,779.5,1.3188,1.2018,1.1793,28.75,1.5826,1.3681,1.2851
66751877,https://github.com/HiFaraz/node-playbook,,1404,36,51,61,0,51,1306.25,1.027,1.0233,1.0228,32.0,1.2188,1.2051,1.0851
271616776,https://github.com/twostraws/wwdc,,1431,168,102,271,0,102,888.0,1.1937,1.2783,1.0561,34.5,1.4493,1.59,1.2075
72257883,https://github.com/mthom/scryer-prolog,Rust,1435,50,74,6725,233,74,401.5,1.726,1.3276,1.5598,18.0,1.8889,1.5,1.4118
156233144,https://github.com/joshfarrant/shortcuts-js,TypeScript,1419,31,84,8712,49,84,674.0,1.6083,1.173,1.116,25.75,1.8058,1.3817,1.2763
399821046,https://github.com/varbhat/exatorrent,Go,1439,14,74,450,7,74,1238.5,1.0589,1.0444,1.0506,44.0,1.25,1.1636,1.1406
44019644,https://github.com/ntop/nProbe,Lua,1416,28,41,9581,78,41,430.0,1.8535,1.4015,1.2677,11.0,1.9091,1.4762,1.3226
59865633,https://github.com/asvd/microlight,JavaScript,1445,32,68,12,7,68,1188.25,1.0802,1.0594,1.0627,29.75,1.4286,1.2765,1.2166
95147711,https://github.com/fossasia/MMM-SUSI-AI,TypeScript,1471,10,19,1369,7,19,394.0,2.1396,1.4603,1.195,5.5,1.8182,1.45,1.3103
256961429,https://github.com/goccy/go-json,Go,1476,17,52,4782,17,52,627.5,1.651,1.2302,1.1581,16.5,1.697,1.4464,1.2593
99345227,https://github.com/fossasia/susi_hangoutbot,JavaScript,1454,8,10,228,2,10,409.0,2.0465,1.4588,1.1908,3.25,1.6923,1.4091,1.2903
295847167,https://github.com/balazsbotond/urlcat,TypeScript,1468,10,38,743,48,38,1262.0,1.0515,1.046,1.0576,16.5,1.5152,1.26,1.2063
141798743,https://github.com/kanishka-linux/reminiscence,JavaScript,1519,40,77,1450,23,77,912.0,1.2379,1.1718,1.1481,27.75,1.5676,1.3621,1.2658
37457848,https://github.com/fossasia/timeline.api.fossasia.net,JavaScript,1501,9,4,188,1,4,482.75,1.7897,1.4563,1.1929,1.75,1.4286,1.3,1.2308
188709594,https://github.com/synox/youtube-dl-interactive,JavaScript,1475,17,64,863,3,64,1271.0,1.0677,1.0461,1.0391,33.0,1.303,1.2093,1.2115
429485913,https://github.com/89luca89/distrobox,Shell,1480,20,76,7827,23,76,657.75,1.5127,1.2425,1.1972,22.0,1.9545,1.3488,1.3103
91023587,https://github.com/owenthereal/godzilla,Go,1477,35,34,101,8,34,1181.75,1.0844,1.0798,1.0674,17.5,1.3429,1.2234,1.1826
