ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
444718437,https://github.com/proofrock/ws4sqlite,Go,331,4,6,149,1,6,389.0,1.0386,1.0421,1.0238,9.0,1.1111,1.1,1.0909
209924012,https://github.com/amfoss/internal-hackathon,,332,3,2,12,0,2,206.0,1.2015,1.5424,1.129,2.5,1.2,1.1667,1.1429
474667786,https://github.com/wireshape/whitepaper,,330,11,1,6108,1,1,242.0,1.5702,1.0579,1.0697,0,0,0,0
328314676,https://github.com/mvrozanti/dte,Python,305,7,3,247,2,3,99.5,3.5377,1.1172,1.0299,4.5,1.1111,1.1,1.0909
130491150,https://github.com/lastmjs/wasm-metal,TypeScript,317,13,6,141,21,6,137.0,1.6277,1.1951,1.5647,4.5,1.5556,1.3571,1.2632
162175821,https://github.com/JohnSundell/Shapeshift,Swift,336,13,8,4,0,8,373.0,1.0536,1.0611,1.0456,5.0,2.0,1.3,1.2308
297045708,https://github.com/FormidableLabs/use-editable,TypeScript,363,37,6,179,8,6,334.0,1.1707,1.0953,1.0811,4.5,1.5556,1.3571,1.2632
367590003,https://github.com/theapache64/create-compose-app,Kotlin,372,3,9,24742,1,9,284.75,1.3521,1.1331,1.0819,7.5,1.4667,1.3182,1.2414
221143688,https://github.com/muan/paint-github,JavaScript,360,5,8,33,0,8,342.0,1.0848,1.0566,1.1735,5.5,1.6364,1.3889,1.28
158760956,https://github.com/yuchi/hooks.macro,JavaScript,344,8,4,832,17,4,272.0,1.3199,1.1058,1.1184,3.5,1.4286,1.3,1.2308
335090098,https://github.com/ergulkizilkaya/ReCapProject,C#,387,14,10,200,1,10,428.5,1.0618,1.0352,1.034,8.0,1.5,1.3333,1.25
134191022,https://github.com/amfoss/android-workshop-summer-2018,Java,396,9,3,28145,1,3,147.5,1.9898,1.4761,1.1425,3.0,1.3333,1.25,1.2
