ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
27082237,https://github.com/fossasia/directory.api.fossasia.net,Python,1536,14,49,193,3,49,416.75,2.1152,1.4603,1.1932,14.75,1.7966,1.4434,1.281
5202066,https://github.com/lelylan/lelylan,,1515,63,93,184,21,93,763.0,1.3748,1.2364,1.1681,30.25,1.7025,1.3932,1.2962
7401754,https://github.com/fossasia/pslab-case,,1519,26,6,20904,2,6,441.5,1.9785,1.4579,1.1928,3.0,1.3333,1.25,1.2
29779480,https://github.com/fossasia/perspektive89.com,,1513,11,2,0,3,2,494.25,1.7704,1.4489,1.1935,1.25,1.2,1.1667,1.1429
67226573,https://github.com/Pyroh/Fluor,Swift,1549,29,93,12339,26,93,826.5,1.3479,1.1925,1.166,28.25,1.7876,1.4208,1.2962
183909168,https://github.com/ivanvorobei/SPAlert,Swift,1576,15,91,12327,0,91,576.0,1.4983,1.4612,1.2498,28.0,1.6786,1.4043,1.3333
257526212,https://github.com/Flow-Launcher/Flow.Launcher,C#,1575,28,75,79154,174,75,221.0,1.914,1.695,2.1967,18.5,2.0,1.473,1.3761
54906960,https://github.com/antontarasenko/smq,TSQL,1551,55,73,120,2,73,1244.0,1.041,1.0359,1.1562,42.75,1.2047,1.1699,1.195
46198865,https://github.com/BSVino/JaiPrimer,,1554,158,78,59,14,78,449.75,1.9878,1.3932,1.2477,20.0,1.95,1.4872,1.3448
67892585,https://github.com/ok-borg/borg,Go,1544,40,59,30263,14,59,1112.5,1.1335,1.1241,1.0892,18.5,1.8378,1.3676,1.2688
33731954,https://github.com/mblode/marx,CSS,1572,30,104,1055,7,104,885.5,1.2372,1.2307,1.166,38.5,1.5844,1.3361,1.2393
148708393,https://github.com/microsoft/onnxjs,TypeScript,1601,42,128,5127,85,128,789.75,1.3498,1.262,1.1901,36.25,1.8345,1.4398,1.3055
18667134,https://github.com/tjmehta/101,JavaScript,1564,31,87,542,21,87,1252.75,1.1036,1.0685,1.0587,38.75,1.3806,1.2944,1.213
112520958,https://github.com/GoogleChromeLabs/jsvu,JavaScript,1595,42,79,232,22,79,675.0,1.4237,1.2841,1.2925,21.75,1.8161,1.4494,1.3275
195327838,https://github.com/dai-shi/use-context-selector,TypeScript,1577,12,43,2055,4,43,263.5,2.8121,1.6248,1.3098,10.5,1.9048,1.575,1.3333
115018676,https://github.com/smooth-code/smooth-ui,JavaScript,1601,18,114,8682,12,114,920.0,1.3239,1.1765,1.1172,33.0,1.7879,1.4746,1.2874
42895554,https://github.com/espadrine/succinct-cybernetics,JavaScript,1601,31,93,83,1,93,1472.0,1.0312,1.027,1.0269,63.5,1.1496,1.1301,1.1152
121482350,https://github.com/RubixML/ML,PHP,1601,51,125,25796,34,125,659.0,1.4294,1.4246,1.1923,34.5,1.8551,1.4297,1.3115
135768962,https://github.com/Tinder/StateMachine,Kotlin,1609,37,100,239,27,100,547.75,1.5527,1.5511,1.2196,26.75,1.8879,1.4901,1.3156
40604558,https://github.com/Belphemur/SoundSwitch,C#,1595,46,138,16521,31,138,374.0,1.9599,1.5853,1.3726,35.25,2.0,1.4716,1.3301
69663,https://github.com/mattn/vim-gist,Vim script,1636,31,140,410,38,140,456.75,1.9551,1.4337,1.2779,37.5,1.92,1.4653,1.327
766701,https://github.com/jamesturk/jellyfish,Python,1658,42,146,990,10,146,541.25,1.6434,1.4477,1.2875,37.25,1.9463,1.5,1.3333
159668508,https://github.com/vislyhq/stretch,Rust,1698,36,108,43649,38,108,847.0,1.3329,1.2578,1.1958,26.25,1.8857,1.4697,1.3196
286299736,https://github.com/rtivital/omatsuri,JavaScript,1717,23,120,26728,4,120,891.5,1.3685,1.1832,1.1895,33.5,1.9701,1.3485,1.3258
43354735,https://github.com/cytopia/ffscreencast,Shell,1638,34,73,337,17,73,662.5,1.1879,1.885,1.1041,22.25,1.6854,1.4333,1.3581
390399065,https://github.com/themesberg/flowbite,HTML,1680,17,143,7010,47,143,376.5,1.9031,1.6507,1.4204,30.75,2.065,1.6614,1.3555
18980240,https://github.com/araddon/dateparse,Go,1702,23,132,474,51,132,706.25,1.4188,1.3817,1.2293,32.25,2.0,1.5,1.323
22761491,https://github.com/symisc/unqlite,C,1679,64,150,2424,15,150,380.0,2.2816,1.4637,1.3231,37.25,2.0268,1.4934,1.3304
60985120,https://github.com/syncthing/syncthing-macos,Objective-C,1660,49,107,22817,12,107,320.25,2.1749,1.6665,1.4301,27.25,2.0,1.4587,1.3459
17113037,https://github.com/hanslub42/rlwrap,C,1668,36,117,2019,24,117,368.0,2.0761,1.5609,1.3987,29.0,2.0,1.5172,1.3295
320370787,https://github.com/arxanas/git-branchless,Rust,1702,15,37,2046,25,37,755.5,1.728,1.2047,1.0822,13.75,1.5636,1.3605,1.265
146396702,https://github.com/nexxtway/react-rainbow,JavaScript,1701,23,96,29157,90,96,993.5,1.3437,1.1487,1.1092,35.0,1.5429,1.4444,1.2308
25706953,https://github.com/acdlite/flummox,JavaScript,1691,39,127,1178,38,127,1138.25,1.2102,1.1203,1.0957,34.75,2.0,1.3993,1.2751
22277409,https://github.com/cwRichardKim/RKSwipeBetweenViewControllers,Objective-C,1696,56,156,2464,19,156,686.75,1.5872,1.3369,1.1638,42.0,1.9286,1.4444,1.2991
193104152,https://github.com/anonaddy/anonaddy,PHP,1730,28,102,3052,40,102,585.5,1.6465,1.36,1.3196,37.25,1.5705,1.3632,1.279
22601397,https://github.com/watchexec/cargo-watch,Rust,1746,11,67,1098,10,67,375.0,2.1387,1.5717,1.3852,18.0,1.8889,1.4706,1.34
92612195,https://github.com/symfony/profiler-pack,,1737,7,6,8,0,6,560.5,1.8733,1.3833,1.1959,2.0,2.0,1.25,1.2
67960206,https://github.com/TrestleAdmin/trestle,Ruby,1731,55,147,15282,87,147,784.0,1.4439,1.2831,1.1917,41.25,1.8303,1.4536,1.3212
159810374,https://github.com/mthenw/awesome-layers,,1758,67,159,81,4,159,723.0,1.5325,1.3159,1.2058,47.5,1.7684,1.4345,1.2946
44676949,https://github.com/GoogleChromeLabs/simplehttp2server,Go,1722,53,107,376,5,107,515.5,2.6149,1.1471,1.1137,28.5,2.0877,1.3739,1.2722
118027299,https://github.com/developit/stockroom,JavaScript,1752,22,58,31,11,58,1267.25,1.1462,1.1186,1.0783,28.0,1.3571,1.2632,1.2083
131665090,https://github.com/boydm/scenic,Elixir,1754,71,121,3066,35,121,1047.5,1.2749,1.1679,1.1245,59.5,1.3445,1.2438,1.206
186744765,https://github.com/areslabs/alita,JavaScript,1768,44,118,12511,18,118,1000.25,1.3442,1.1681,1.1258,49.0,1.5102,1.2973,1.2292
19813003,https://github.com/adrianlopezroche/fdupes,C,1750,57,155,451,94,155,463.25,1.9244,1.4812,1.3253,37.0,2.1081,1.4744,1.3304
115747740,https://github.com/mkchoi212/fac,Go,1755,31,50,1488,9,50,1376.5,1.1035,1.082,1.0678,23.0,1.3913,1.2812,1.2195
201701386,https://github.com/saket/press,Kotlin,1789,49,108,5760,13,108,846.5,1.5582,1.2506,1.0846,38.75,1.6129,1.364,1.2551
357707809,https://github.com/quickwit-oss/quickwit,Rust,1793,32,89,9234,154,89,730.25,1.2872,1.2854,1.484,28.75,1.7217,1.399,1.2852
165542441,https://github.com/minimaxir/automl-gs,Python,1786,58,170,572,27,170,1435.0,1.092,1.0753,1.0599,96.0,1.2396,1.1849,1.1489
137458049,https://github.com/atisawd/boxicons,CSS,1836,22,167,21812,225,167,650.0,1.4723,1.4943,1.2839,40.5,1.9753,1.5312,1.3469
5744149,https://github.com/mattt/CargoBay,Objective-C,1776,77,160,256,0,160,803.0,1.4956,1.2625,1.1713,41.75,1.8802,1.4682,1.2928
