ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
45498993,https://github.com/learn-co-students/nested-hash-iteration-code-along-v-000,Ruby,0,10,1497,27,1641,1497,0,0,0,0,327.5,2.0702,1.6777,1.3152
46398090,https://github.com/datahub-project/datahub,Java,5519,222,1512,481983,242,1512,778.5,1.8773,1.987,1.9005,300.0,1.8833,1.6053,1.645
48230104,https://github.com/progedu/intro-curriculum-3011,JavaScript,0,3,1509,3,1529,1509,0,0,0,0,303.0,1.9736,1.9933,1.2659
55850689,https://github.com/open-falcon/falcon-plus,Go,6905,416,1522,17291,163,1522,2328.5,1.9268,1.3445,1.1447,412.5,2.0582,1.4217,1.2469
287464616,https://github.com/migueravila/Bento,JavaScript,1141,11,1555,14734,12,1555,232.5,2.1978,1.5098,1.4789,425.0,1.78,1.4124,1.4207
10247874,https://github.com/docker/docker-py,Python,5764,187,1549,5200,515,1549,1131.5,2.274,1.7184,1.3036,362.25,2.0897,1.4937,1.3266
21246279,https://github.com/googlearchive/android-Camera2Basic,Java,2789,164,1548,1453,0,1548,581.5,2.3207,1.6612,1.2441,358.75,2.0697,1.5949,1.2759
137503442,https://github.com/void-linux/void-packages,Shell,1706,51,1535,511797,1394,1535,589.5,1.626,1.3495,1.3189,411.75,1.8883,1.4421,1.3387
45213473,https://github.com/learn-co-students/method-arguments-lab-v-000,Ruby,0,10,1536,14,1621,1536,0,0,0,0,324.25,2.0262,1.7272,1.2998
52710065,https://github.com/all-contributors/all-contributors,HTML,6273,67,1537,17343,94,1537,1247.5,2.489,1.5736,1.2839,286.0,2.3007,1.6945,1.3641
8305132,https://github.com/guolindev/LitePal,Java,7841,293,1589,5433,64,1589,1555.5,2.8447,1.5101,1.1734,411.25,2.107,1.4354,1.2575
196395725,https://github.com/shishan100/Java-Interview-Advanced,HTML,3649,244,1620,3541,9,1620,1395.0,1.8079,1.2641,1.1446,517.5,1.8841,1.2974,1.1881
121647248,https://github.com/roboticcam/machine-learning-notes,Jupyter Notebook,6343,372,1581,166543,16,1581,1900.75,1.8656,1.3604,1.3149,494.0,1.7672,1.3379,1.3005
147549538,https://github.com/Armour/vue-typescript-admin-template,Vue,4621,103,1594,9506,66,1594,1080.25,2.3425,1.4622,1.2489,401.0,2.0898,1.4714,1.2822
33103603,https://github.com/ituring/first-pr,HTML,187,32,1603,4839,135,1603,49.25,1.9391,1.4843,1.3192,403.5,1.9963,1.4991,1.311
1646466,https://github.com/mininet/mininet,Python,4399,282,1614,3302,352,1614,1101.75,1.9165,1.5554,1.3394,382.5,2.0366,1.4936,1.3339
66313090,https://github.com/learn-co-students/javascript-rock-dodger-bootcamp-prep-000,JavaScript,2,16,1597,21,1263,1597,1.25,1.2,1.1667,1.1429,374.25,2.2258,1.5528,1.23
13078678,https://github.com/amaas/stanford_dl_ex,,2457,242,1613,354,20,1613,619.0,2.399,1.3741,1.2041,410.5,2.0914,1.475,1.228
49268802,https://github.com/wuhaoyu1990/MagicCamera,Java,5208,223,1602,17476,99,1602,1890.0,1.8341,1.2959,1.1593,510.75,1.7739,1.3789,1.2111
53982546,https://github.com/marcotcr/lime,JavaScript,9812,273,1608,21112,50,1608,1972.0,2.9113,1.3909,1.2288,404.5,2.0408,1.4824,1.2878
