ids,name_repo,stargazers,watchers,forks,tamaño_kb,issues,network_size
4648334,https://github.com/wdmchaft/SoundMixer-Fader-UI,10,4,4,1200,0,4
19088321,https://github.com/samdmarshall/usbTerm,10,1,2,316,0,2
17288061,https://github.com/Devrama/image-lazyload,10,1,4,5,0,4
16915948,https://github.com/Enome/style-guide,10,3,0,552,0,0
17327112,https://github.com/allonlinux/AMRT,10,3,0,240,1,0
16914287,https://github.com/sheharyarn/freelancer-leaderboard,10,2,0,128,0,0
19106311,https://github.com/monstersb/discuzscanner,10,2,7,614,0,7
16990453,https://github.com/brianshumate/ansible-couchbase-server,10,2,43,339,0,43
17463050,https://github.com/ajschumacher/gadsdc1,10,5,42,25723,0,42
17330608,https://github.com/blakeembrey/atom-alignment,10,1,1,26,7,1
19180230,https://github.com/paulxtiseo/bouncer,10,0,2,280,1,2
19106311,https://github.com/monstersb/discuzscanner,10,2,7,614,0,7
17379711,https://github.com/roukaour/ascii85,10,2,2,13,0,2
18600014,https://github.com/micktwomey/docker-python2.7,11,0,7,140,0,7
17422874,https://github.com/radj/AndroidSMSBackupRestoreCleaner,10,5,10,4522,4,10
17288061,https://github.com/Devrama/image-lazyload,10,1,4,5,0,4
17378253,https://github.com/DImuthuUpe/Tesseract-API,11,2,7,136761,4,7
19088321,https://github.com/samdmarshall/usbTerm,10,1,2,316,0,2
19182418,https://github.com/p1100i/grid2.js,12,3,2,462,5,2
17330608,https://github.com/blakeembrey/atom-alignment,10,1,1,26,7,1
17443465,https://github.com/giTorto/extraCTU-plugin,10,2,0,489,2,0
17148519,https://github.com/verdesrobert/SEVenCODEHelloWorld,10,3,1,4822,0,1
19169867,https://github.com/mugli/unstupify,10,1,6,16,1,6
19088321,https://github.com/samdmarshall/usbTerm,10,1,2,316,0,2
4648334,https://github.com/wdmchaft/SoundMixer-Fader-UI,10,4,4,1200,0,4
17289058,https://github.com/modmaker/BeBoPr-plus-plus,10,9,5,3396,1,5
16983659,https://github.com/karchz/Coqoo,10,5,4,1480,0,4
16995581,https://github.com/panuhorsmalahti/gulp-ts,10,1,4,39,2,4
17379711,https://github.com/roukaour/ascii85,10,2,2,13,0,2
17378253,https://github.com/DImuthuUpe/Tesseract-API,11,2,7,136761,4,7
17289058,https://github.com/modmaker/BeBoPr-plus-plus,10,9,5,3396,1,5
17288061,https://github.com/Devrama/image-lazyload,10,1,4,5,0,4
16914287,https://github.com/sheharyarn/freelancer-leaderboard,10,2,0,128,0,0
17378253,https://github.com/DImuthuUpe/Tesseract-API,11,2,7,136761,4,7
19088321,https://github.com/samdmarshall/usbTerm,10,1,2,316,0,2
19180230,https://github.com/paulxtiseo/bouncer,10,0,2,280,1,2
19182418,https://github.com/p1100i/grid2.js,12,3,2,462,5,2
17327112,https://github.com/allonlinux/AMRT,10,3,0,240,1,0
16995581,https://github.com/panuhorsmalahti/gulp-ts,10,1,4,39,2,4
19169867,https://github.com/mugli/unstupify,10,1,6,16,1,6
17328382,https://github.com/shakyShane/gulp-contribs,10,1,0,112,0,0
17378253,https://github.com/DImuthuUpe/Tesseract-API,11,2,7,136761,4,7
17288061,https://github.com/Devrama/image-lazyload,10,1,4,5,0,4
16919788,https://github.com/Xifax/gnome-terminal-themes-cornucopia,10,2,1,141,0,1
16694412,https://github.com/bigpandaio/rerun,10,8,2,37,0,2
19180230,https://github.com/paulxtiseo/bouncer,10,0,2,280,1,2
17330608,https://github.com/blakeembrey/atom-alignment,10,1,1,26,7,1
