ids,name_repo,stargazers,watchers,forks,tamaño_kb,issues,network_size
60278909,https://github.com/olahol/reactpack,995,15,37,117,4,37
91426988,https://github.com/mariusandra/insights,1000,28,58,5482,70,58
2871358,https://github.com/iloire/watchmen,947,65,206,7715,34,206
41331693,https://github.com/alexkuz/react-json-tree,991,14,121,566,34,121
22023776,https://github.com/lightning-viz/lightning,960,57,115,21506,23,115
24573940,https://github.com/venmo/VENTouchLock,977,60,124,3477,18,124
74663841,https://github.com/Boostport/kubernetes-vault,956,34,135,376,0,135
47790569,https://github.com/matmartinez/MMNumberKeyboard,959,22,111,2014,3,111
98581652,https://github.com/zackthoutt/got-book-6,973,73,142,49,6,142
2757513,https://github.com/wesnolte/jOrgChart,976,105,689,322,56,689
12398689,https://github.com/tschaub/grunt-newer,956,19,61,116,41,61
12547190,https://github.com/travist/makemeasandwich.js,964,20,65,276,11,65
33272115,https://github.com/FabrizioBrancati/BFKit-Swift,991,24,109,25468,1,109
15628859,https://github.com/ninjinkun/NJKScrollFullScreen,952,41,97,7514,10,97
35056138,https://github.com/afollestad/material-cab,996,27,102,5063,5,102
51301474,https://github.com/DroidsOnRoids/RxSwiftExamples,962,66,150,166,3,150
19497487,https://github.com/mikeMTOL/UIBarButtonItem-Badge,953,23,169,136,24,169
2784030,https://github.com/claviska/jquery-minicolors,953,52,323,1385,26,323
2949173,https://github.com/bploetz/versionist,959,18,53,226,8,53
853525,https://github.com/danlucraft/redcar,1000,39,147,45354,21,147
12620058,https://github.com/pronebird/UIScrollView-InfiniteScroll,989,29,145,6176,19,145
51696050,https://github.com/liuzhiyi1992/ZYThumbnailTableView,948,26,111,373,8,111
70248705,https://github.com/vue-play/vue-play,976,33,50,2062,32,50
16545099,https://github.com/redwarp/9-Patch-Resizer,993,51,169,540,0,169
1954275,https://github.com/SublimeText/CTags,997,78,174,675,71,174
5995904,https://github.com/ndbroadbent/turbo-sprockets-rails3,977,23,76,563,41,76
7902338,https://github.com/cowboy/jquery-tiny-pubsub,959,51,221,399,11,221
15601851,https://github.com/js-data/js-data-angular,985,31,84,2398,9,84
124897660,https://github.com/heruijun/flutter_boss,966,35,251,6132,12,251
18298037,https://github.com/yeoman/yeoman-app,987,44,110,3505,19,110
66329671,https://github.com/koush/electron-chrome,973,53,67,935,30,67
17741480,https://github.com/madebysource/pho-devstack,967,30,60,129,21,60
27152891,https://github.com/fastlane-old/sigh,966,27,89,1328,0,89
2789887,https://github.com/hayaku/hayaku,971,36,44,737,110,44
81784787,https://github.com/Metnew/suicrux,951,35,147,13630,168,147
7298651,https://github.com/defunctzombie/zuul,969,20,103,1666,55,103
19755450,https://github.com/joewalnes/filtrex,1007,36,80,179,15,80
73098730,https://github.com/ennioma/arek,953,18,60,5248,7,60
8148085,https://github.com/mindsnacks/MSWeakTimer,974,36,114,52,12,114
5075922,https://github.com/appdotnet/api-spec,961,142,108,17404,102,108
340490,https://github.com/ole/OBShapedButton,951,47,150,226,0,150
14225208,https://github.com/aspnet/dnx,982,202,233,21498,0,233
39492019,https://github.com/nordnet/cordova-hot-code-push,983,53,457,916,1,457
29588481,https://github.com/marmelab/restful.js,974,30,83,590,23,83
19875012,https://github.com/sindresorhus/gulp-app,968,23,47,710,0,47
31352344,https://github.com/KittenYang/KYCuteView,982,36,194,6074,5,194
1115977,https://github.com/scribu/wp-posts-to-posts,949,74,253,4162,168,253
88246067,https://github.com/wirecube/android_additive_animations,990,26,72,45132,1,72
14275875,https://github.com/jpardogo/ListBuddies,972,69,301,9772,8,301
5407995,https://github.com/oortcloud/unofficial-meteor-faq,962,98,98,705,21,98
11150359,https://github.com/alexdrone/ios-realtimeblur,962,46,112,617,10,112
34791654,https://github.com/evermeer/EVReflection,963,30,122,265048,21,122
20606214,https://github.com/smileyborg/TableViewCellWithAutoLayoutiOS8,995,37,143,248,18,143
52108209,https://github.com/fluffgfx/jolteon,965,22,40,14,3,40
41123962,https://github.com/mwolfson/android-historian,960,47,162,90365,0,162
41531229,https://github.com/ColorfulCat/AndroidGuide,953,65,239,129,3,239
3633434,https://github.com/Sutto/rocket_pants,984,26,135,1050,36,135
13141925,https://github.com/kevinburke/doony,979,38,120,933,29,120
62730704,https://github.com/ShamylZakariya/FlyoutMenus,995,17,93,8657,2,93
7321480,https://github.com/lucasr/smoothie,993,78,167,867,10,167
121050,https://github.com/jquery/testswarm,967,43,162,6001,5,162
42875798,https://github.com/jupyter-attic/dashboards,988,78,210,10338,32,210
1127929,https://github.com/ioerror/duraconf,968,92,102,1322,37,102
15448418,https://github.com/sailing-pmls/bosen,963,173,290,58466,8,290
49977774,https://github.com/wangshengjia/LeeGo,975,22,49,3066,20,49
374257,https://github.com/binarymatt/pyres,958,41,136,1379,27,136
4184416,https://github.com/bwsewell/tablecloth,997,80,130,242,10,130
6295793,https://github.com/dboissier/mongo4idea,976,44,107,46891,76,107
4394729,https://github.com/guybedford/require-css,984,56,371,355,52,371
11104805,https://github.com/JasonMortonNZ/bs3-sublime-plugin,994,77,284,174,12,284
76254293,https://github.com/kangzubin/XMNetworking,980,30,168,3293,31,168
46328956,https://github.com/cloudera/livy,980,91,320,2312,22,320
2726867,https://github.com/DataTables/VisualEvent,985,56,162,207,29,162
4262647,https://github.com/rnapier/RNCachingURLProtocol,946,49,204,44,13,204
18017290,https://github.com/joeblau/COSTouchVisualizer,953,34,71,2756,9,71
47076719,https://github.com/brave/muon,977,74,110,42246,115,110
28390985,https://github.com/seven456/MultiChannelPackageTool,995,50,233,363,4,233
60911140,https://github.com/bravoborja/FocusResize,971,27,121,19752,4,121
19596415,https://github.com/deaghean/omnifocus-perspective-icons,972,81,47,58808,0,47
